stock_id,name,market,industry,score,rev_2021,rev_2022,rev_2023,rev_2024,rev_2025,yoy_2022,yoy_2023,yoy_2024,yoy_2025,yoy_2026,gm_2021,gm_2025,gm_delta,opm_2021,opm_2025,opm_delta,eps_2025,roe,npm_2025,price,pe,pb,dy,mcap_yi,cr,ca_ratio,px_2021,px_2023,px_2025,px_last,ret_23to25,ret_25to_now,dps_ttm
2614,東森,sii,其他,45.50188027158673,5511919.0,5949064.0,5841598.0,5748993.0,5473329.0,7.930903919306509,-1.8064354325319054,-1.5852682776185567,-4.7949962715209455,-3.32,30.2664280806739,33.70913752854981,3.4427094478759095,2.850586157017184,8.833106871521885,5.982520714504701,1.99,9.514828518364341,11.120709169867187,18.55,9.05,1.36,6.47,60.707647483,1.2340504825804688,0.23567972477285182,54.064422607421875,19.1743106842041,20.5,18.5,6.913882525581516,-9.756097560975608,0
9924,福興,sii,居家生活,36.569769979877066,9686119.0,9530920.0,9073439.0,8039380.0,7384022.0,-1.6022826066869555,-4.799966844753712,-11.396549863838834,-8.151847530530965,-7.9,17.429065242745832,21.984617597293184,4.555552354547352,7.8835393205472695,9.790138761775086,1.9065994412278169,3.08,7.618627858604393,7.31314180808237,38.9,10.66,0.85,6.43,58.646315304,2.8487377844065684,0.5225345478680946,51.875,60.6875,47.95000076293945,38.79999923706055,-20.988670215547756,-19.082380355144736,5.0
1341,富林-KY,sii,塑膠工業,37.47722141591826,2765512.0,3045728.0,2516049.0,2789002.0,2567242.0,10.132517956891895,-17.390883230544553,10.848477116304167,-7.951231300658801,7.48,21.1481273630344,22.74896562147238,1.6008382584379781,12.817626537147554,10.957634691236743,-1.8599918459108107,3.71,15.181585368781272,7.63632723366165,59.9,12.17,2.56,6.68,31.657529766,1.8039713908254162,0.7396496420640297,68.4000015258789,60.400001525878906,57.5,60.29999923706055,-4.801326908305414,4.869563890540074,4.0
4942,嘉彰,sii,光電業,37.56018092886312,8718498.0,7838687.0,6074468.0,5667339.0,6091275.0,-10.091313893746378,-22.50656264244254,-6.70229886798317,7.48033600954523,-7.22,22.954584608495637,23.438902364447507,0.48431775595187077,13.480211843829062,9.352097877702123,-4.128113966126939,3.06,4.790185235742336,7.152279284714612,33.25,11.47,0.51,6.02,47.3372313225,3.4760968733420956,0.5770916291514626,47.54999923706055,42.70000076293945,37.599998474121094,33.150001525878906,-11.943799057832328,-11.835098746892193,2.0
4581,光隆精密-KY,sii,汽車工業,29.859618847953037,1004262.0,1022834.0,1197391.0,1082879.0,1086475.0,1.8493182058068491,17.06601462211854,-9.563459220922821,0.3320777298294608,6.28,24.55434936301483,33.16403966957362,8.60969030655879,9.75542238977478,17.053406659150003,7.297984269375222,4.73,13.036493988665898,14.75975056950229,48.55,11.93,1.33,6.18,16.4579645,3.2947873936591785,0.7034838805108652,34.650001525878906,63.099998474121094,51.099998474121094,48.20000076293945,-19.017433106470683,-5.6751424614039925,3.0
9935,慶豐富,sii,居家生活,45.80150021935555,4966554.0,5287076.0,4547224.0,5399082.0,4941547.0,6.453609484564149,-13.99359494737734,18.733583390657692,-8.47431100324092,8.19,15.678617407562667,26.071430667359834,10.392813259797167,3.7048424319961084,10.856883482035078,7.15204105003897,1.64,10.965744089870528,5.863285323401761,20.2,8.18,1.32,5.94,35.923463051999995,1.5518609061552089,0.5003449246959176,18.09756088256836,20.450000762939453,19.899999618530273,19.950000762939453,-2.6894920483617746,0.2512620370234586,1.2
7791,皇家可口,sii,食品工業,32.820379725505006,,,3031504.0,2668039.0,2577628.0,,,-11.989593284389532,-3.3886686064184213,-7.58,,34.51654001275591,,,13.675906686302291,,5.61,11.097702341451768,15.651249908830911,56.8,13.62,1.42,6.71,45.44,2.9768769052626602,0.300116165545909,,,71.19999694824219,57.099998474121094,,-19.803369492235912,3.81
6165,浪凡,sii,數位雲端,48.34564656124465,2716193.0,3011423.0,2710539.0,2848163.0,3217574.0,10.869257081510785,-9.991422659652926,5.077366531158556,12.970149531469932,8.35,26.027642365619823,29.46903474481084,3.4413923791910186,4.3023084147555055,10.993064961365302,6.690756546609797,4.02,19.637238904305825,9.832998401901555,47.8,12.16,2.71,10.46,37.165753794,1.7295465218367805,0.4362526591055469,35.04999923706055,40.099998474121094,42.54999923706055,48.04999923706055,6.109727820864097,12.92596967947668,0
4746,台耀,sii,生技醫療業,30.53632713613509,3142406.0,3765504.0,4360448.0,4731046.0,4851357.0,19.82869177311908,15.799850431708485,8.499080828391946,2.5430105731375274,-7.22,30.914019385146286,41.88729050449184,10.97327111934555,-5.346762958064617,16.555718327882282,21.902481285946898,3.67,4.567722189555834,8.163241748648883,49.35,12.46,0.8,6.08,59.346317740500005,1.913268340617,0.40114023267160004,54.400001525878906,112.5,57.5,49.75,-48.88888888888889,-13.478260869565217,3.0
2433,互盛電,sii,其他電子業,42.59677519779535,3883788.0,3193629.0,2893725.0,2759859.0,2718776.0,-17.77025419513114,-9.390696289393663,-4.626078843013759,-1.4885905403138389,1.58,26.834471912473077,35.95768831268188,9.123216400208804,11.554518423765664,15.235017522591049,3.6804990988253845,3.05,11.176918764285611,16.87248232292767,41.75,13.87,1.85,6.47,60.3270845925,2.0732132792700906,0.5063224691877422,,,,,,,
